nohup: ignoring input
Setting GPU: 3
Running on: [RocmDevice(id=0)]
Ablations: ['baseline', 'no_logsumexp_init', 'fewer_inner_steps_500', 'more_inner_steps_4000', 'inner_lr_5e-2', 'inner_lr_1e-3', 'logsumexp_gamma_1', 'logsumexp_gamma_0.01', 'logsumexp_gamma_0.001', 'no_adam', 'landmarks_fps', 'landmarks_32', 'landmarks_64', 'landmarks_256', 'hidden_32_32', 'hidden_64_64', 'hidden_256_256', 'hidden_128_128_128', 'lr_1e-4', 'batch_512', 'batch_128']
Manifolds: ['T2']

======================================================================
MANIFOLD: T2
======================================================================

[T2] Ablation: baseline
[   204] loss=-2.1690 | res=2.72e-02 | grad=9.54e-01 | 1.0s
[   205] loss=-2.2439 | res=2.64e-02 | grad=3.25e-01 | 1.1s
[   206] loss=-2.2908 | res=3.65e-02 | grad=7.12e-01 | 1.1s
[   207] loss=-2.3781 | res=3.36e-02 | grad=5.40e-01 | 1.1s
[   208] loss=-2.2102 | res=2.51e-02 | grad=1.82e-01 | 1.1s
[   209] loss=-2.2314 | res=2.79e-02 | grad=9.13e-01 | 1.1s
[   210] loss=-2.6881 | res=2.82e-02 | grad=7.65e-01 | 1.1s
[   211] loss=-2.2006 | res=2.40e-02 | grad=5.73e-01 | 1.1s
[   212] loss=-2.2991 | res=2.88e-02 | grad=2.48e-01 | 1.0s
[   213] loss=-2.4704 | res=2.91e-02 | grad=9.04e-01 | 1.1s
[   214] loss=-2.2829 | res=2.55e-02 | grad=6.15e-01 | 1.0s
[   215] loss=-2.2214 | res=2.23e-02 | grad=8.68e-01 | 1.0s
[   216] loss=-2.5004 | res=2.65e-02 | grad=6.52e-01 | 1.1s
[   217] loss=-1.9471 | res=2.40e-02 | grad=9.46e-01 | 1.1s
[   218] loss=-2.3104 | res=2.37e-02 | grad=6.83e-01 | 1.0s
[   219] loss=-2.4891 | res=3.31e-02 | grad=4.48e-01 | 1.1s
[   220] loss=-2.2729 | res=3.36e-02 | grad=4.43e-01 | 1.0s
[   221] loss=-2.1998 | res=3.06e-02 | grad=1.25e+00 | 1.1s
[   222] loss=-2.2730 | res=3.31e-02 | grad=9.85e-01 | 1.1s
[   223] loss=-2.4617 | res=2.03e-02 | grad=1.22e+00 | 1.1s
[   224] loss=-2.1989 | res=2.48e-02 | grad=7.78e-01 | 1.0s
[   225] loss=-2.3853 | res=2.35e-02 | grad=4.36e-01 | 1.0s
[   226] loss=-2.1983 | res=2.65e-02 | grad=7.34e-01 | 1.1s
[   227] loss=-2.5018 | res=2.68e-02 | grad=1.81e+00 | 1.0s
[   228] loss=-2.3333 | res=2.45e-02 | grad=1.12e+00 | 1.0s
[   229] loss=-2.2268 | res=3.59e-02 | grad=1.09e+00 | 1.0s
[   230] loss=-2.4539 | res=2.38e-02 | grad=8.89e-01 | 1.1s
[   231] loss=-2.4253 | res=2.20e-02 | grad=7.44e-01 | 1.0s
[   232] loss=-2.1659 | res=3.19e-02 | grad=5.73e-01 | 1.0s
[   233] loss=-2.4328 | res=2.96e-02 | grad=6.12e-01 | 1.0s
[   234] loss=-2.4617 | res=2.45e-02 | grad=4.97e-01 | 1.1s
[   235] loss=-2.5260 | res=2.36e-02 | grad=6.53e-01 | 1.1s
[   236] loss=-2.4162 | res=2.64e-02 | grad=9.26e-01 | 1.1s
[   237] loss=-2.4039 | res=3.18e-02 | grad=8.39e-01 | 1.1s
[   238] loss=-2.2412 | res=2.50e-02 | grad=9.26e-01 | 1.1s
[   239] loss=-2.2301 | res=2.39e-02 | grad=5.39e-01 | 1.1s
[   240] loss=-2.2398 | res=2.54e-02 | grad=5.62e-01 | 1.1s
[   241] loss=-2.1863 | res=2.90e-02 | grad=3.36e-01 | 1.1s
[   242] loss=-2.2501 | res=3.03e-02 | grad=6.98e-01 | 1.0s
[   243] loss=-2.3610 | res=2.65e-02 | grad=1.58e-01 | 1.1s
[   244] loss=-2.4506 | res=2.91e-02 | grad=2.19e-01 | 1.0s
[   245] loss=-2.2192 | res=3.03e-02 | grad=1.05e+00 | 1.1s
[   246] loss=-2.4330 | res=2.71e-02 | grad=8.24e-01 | 1.1s
[   247] loss=-2.2262 | res=2.46e-02 | grad=8.41e-01 | 1.0s
[   248] loss=-2.3775 | res=2.43e-02 | grad=4.20e-01 | 1.1s
[   249] loss=-2.3716 | res=2.83e-02 | grad=5.59e-01 | 1.0s
[   250] loss=-2.3220 | res=2.93e-02 | grad=8.23e-01 | 1.1s
[   251] loss=-2.1457 | res=2.59e-02 | grad=9.32e-01 | 1.0s
[   252] loss=-2.2532 | res=3.11e-02 | grad=1.13e+00 | 1.0s
[   253] loss=-2.2918 | res=2.88e-02 | grad=6.82e-01 | 1.0s
