nohup: ignoring input
Running on: [RocmDevice(id=0)]
N_RUNS = 5
RCPM_GAMMA = 1.0
LANDMARK_METHOD = random
Manifolds: S2, T2

======================================================================
DEFAULT CONFIGURATION PARAMETERS (from src/base.py)
======================================================================

[ModelConfig]
  network_type:   mlp
  hidden_dims:    (128, 128)
  n_landmarks:    128
  use_layernorm:  True
  last_scale:     0.01
  activation:     silu
  leaky_slope:    0.01
  softplus_beta:  1
  max_dist:       3.14159

[SolverConfig]
  inner_steps:      2500
  inner_lr:         0.05
  grad_clip:        None
  lr_decay:         False
  tolerance:        1e-06
  min_steps:        1000
  momentum:         0.0
  logsumexp_init:   True
  logsumexp_gamma:  0.1
  use_adam:         True
  adam_beta1:       0.9
  adam_beta2:       0.999

[TrainingConfig]
  n_steps:        1000
  batch_size:     256
  learning_rate:  0.001
  lr_decay:       False
  lr_decay_alpha: 0.05
  log_every:      1
  eval_every:     None
  eval_size:      1024
  seed:           12345

======================================================================


======================================================================
MANIFOLD: S2
======================================================================

[Ours] Running 5 independent training runs...

  --- Run 1/5 (seed=12345) ---
[   174] loss=-0.8982 | res=2.58e-04 | grad=5.06e-01 | 1.0s
[   175] loss=-0.7075 | res=3.31e-04 | grad=6.57e-01 | 0.9s
[   176] loss=-0.7812 | res=7.40e-05 | grad=1.57e-01 | 0.9s
[   177] loss=-0.9201 | res=8.32e-05 | grad=4.16e-01 | 1.0s
[   178] loss=-0.8518 | res=1.98e-04 | grad=8.02e-01 | 1.0s
[   179] loss=-0.8163 | res=2.22e-04 | grad=1.91e-01 | 1.1s
[   180] loss=-0.8412 | res=1.55e-04 | grad=4.33e-01 | 1.1s
[   181] loss=-0.8472 | res=6.63e-04 | grad=5.94e-01 | 1.1s
[   182] loss=-0.8268 | res=1.31e-03 | grad=4.20e-01 | 1.1s
[   183] loss=-0.7310 | res=4.00e-04 | grad=4.35e-01 | 1.1s
[   184] loss=-0.8258 | res=4.21e-04 | grad=2.07e-01 | 1.1s
[   185] loss=-0.8237 | res=1.69e-04 | grad=3.16e-01 | 1.1s
[   186] loss=-0.8192 | res=4.17e-04 | grad=6.64e-01 | 1.1s
[   187] loss=-0.8404 | res=6.67e-05 | grad=9.21e-01 | 1.1s
[   188] loss=-0.9235 | res=1.95e-04 | grad=4.56e-01 | 1.0s
[   189] loss=-0.8992 | res=3.31e-04 | grad=4.40e-01 | 1.1s
[   190] loss=-0.8692 | res=9.82e-09 | grad=4.38e-01 | 1.1s
[   191] loss=-0.8235 | res=2.11e-04 | grad=4.80e-01 | 1.1s
[   192] loss=-0.8777 | res=2.89e-04 | grad=3.66e-01 | 1.1s
[   193] loss=-0.8631 | res=5.28e-04 | grad=5.13e-01 | 1.1s
[   194] loss=-0.9024 | res=3.90e-04 | grad=4.24e-01 | 1.1s
[   195] loss=-0.8967 | res=6.50e-05 | grad=3.37e-01 | 1.1s
[   196] loss=-0.8458 | res=3.79e-04 | grad=6.31e-01 | 1.1s
[   197] loss=-0.7932 | res=8.52e-05 | grad=6.33e-01 | 1.1s
[   198] loss=-0.8270 | res=1.33e-04 | grad=4.84e-01 | 1.1s
[   199] loss=-0.6644 | res=6.44e-04 | grad=9.31e-01 | 1.1s
[   200] loss=-0.8610 | res=5.24e-04 | grad=1.93e-01 | 1.1s
[   201] loss=-0.8245 | res=1.26e-03 | grad=3.33e-01 | 1.1s
[   202] loss=-0.8122 | res=3.28e-04 | grad=5.18e-01 | 1.1s
[   203] loss=-0.8760 | res=5.24e-04 | grad=3.69e-01 | 1.1s
[   204] loss=-0.8321 | res=1.78e-04 | grad=4.52e-01 | 1.1s
[   205] loss=-0.8807 | res=5.69e-09 | grad=4.50e-01 | 1.1s
[   206] loss=-0.8175 | res=6.23e-09 | grad=4.47e-01 | 1.1s
[   207] loss=-0.8668 | res=5.48e-04 | grad=6.88e-01 | 1.1s
[   208] loss=-0.8767 | res=4.62e-04 | grad=5.13e-01 | 1.1s
[   209] loss=-0.7594 | res=1.34e-04 | grad=4.80e-01 | 1.0s
[   210] loss=-0.8668 | res=1.09e-04 | grad=5.12e-01 | 1.0s
[   211] loss=-0.7975 | res=3.57e-04 | grad=3.38e-01 | 1.0s
[   212] loss=-0.7476 | res=2.88e-04 | grad=3.25e-01 | 1.0s
[   213] loss=-0.8179 | res=5.24e-04 | grad=6.03e-01 | 1.0s
[   214] loss=-0.9024 | res=5.16e-04 | grad=2.43e-01 | 1.0s
[   215] loss=-0.8154 | res=2.84e-04 | grad=4.71e-01 | 1.0s
[   216] loss=-0.8520 | res=2.70e-04 | grad=3.30e-01 | 1.1s
[   217] loss=-0.8007 | res=2.26e-04 | grad=4.52e-01 | 1.1s
[   218] loss=-0.9195 | res=3.43e-04 | grad=4.16e-01 | 1.0s
[   219] loss=-0.8955 | res=3.49e-04 | grad=4.84e-01 | 1.1s
[   220] loss=-0.9021 | res=2.20e-04 | grad=4.38e-01 | 1.1s
[   221] loss=-0.8220 | res=3.07e-04 | grad=3.23e-01 | 1.1s
[   222] loss=-0.8425 | res=2.23e-04 | grad=4.59e-01 | 1.1s
[   223] loss=-0.8238 | res=5.07e-04 | grad=2.26e-01 | 1.1s
[   224] loss=-0.8727 | res=3.77e-04 | grad=3.91e-01 | 1.1s
[   225] loss=-0.8497 | res=6.61e-05 | grad=2.30e-01 | 1.0s
[   226] loss=-0.8425 | res=1.80e-04 | grad=3.54e-01 | 1.1s
[   227] loss=-0.7857 | res=3.01e-04 | grad=4.08e-01 | 1.1s
[   228] loss=-0.7493 | res=2.33e-04 | grad=5.49e-01 | 1.1s
[   229] loss=-0.9201 | res=4.72e-04 | grad=4.61e-01 | 1.0s
[   230] loss=-0.7340 | res=5.53e-04 | grad=3.03e-01 | 1.0s
[   231] loss=-0.8224 | res=1.41e-04 | grad=5.82e-01 | 1.0s
[   232] loss=-0.8316 | res=7.46e-05 | grad=3.19e-01 | 1.0s
[   233] loss=-0.8568 | res=5.58e-05 | grad=3.16e-01 | 1.0s
[   234] loss=-0.8664 | res=1.01e-04 | grad=7.02e-01 | 1.0s
[   235] loss=-0.8046 | res=3.60e-04 | grad=1.03e-01 | 1.0s
[   236] loss=-0.8215 | res=5.46e-04 | grad=2.48e-01 | 1.1s
[   237] loss=-0.7719 | res=2.46e-04 | grad=3.51e-01 | 1.1s
[   238] loss=-0.8039 | res=7.40e-04 | grad=1.98e-01 | 1.1s
[   239] loss=-0.8210 | res=4.65e-04 | grad=5.25e-01 | 1.1s
[   240] loss=-0.8234 | res=2.63e-04 | grad=2.08e-01 | 1.1s
[   241] loss=-0.8698 | res=3.08e-04 | grad=2.47e-01 | 1.1s
[   242] loss=-0.8056 | res=8.89e-05 | grad=3.56e-01 | 1.1s
[   243] loss=-0.8361 | res=1.41e-09 | grad=3.06e-01 | 1.1s
[   244] loss=-0.9101 | res=4.58e-04 | grad=2.98e-01 | 1.1s
