nohup: ignoring input
Running on: [RocmDevice(id=0)]
Running experiments on: sphere
Dimensions: [2, 5, 10, 20, 30, 40]
LANDMARK_METHOD = fps (candidates=4096)

======================================================================
DEFAULT CONFIGURATION PARAMETERS (from src/base.py)
======================================================================

[ModelConfig]
  network_type:   mlp
  hidden_dims:    (128, 128)
  n_landmarks:    128
  use_layernorm:  True
  last_scale:     0.01
  activation:     silu
  leaky_slope:    0.01
  softplus_beta:  1
  max_dist:       3.14159

[SolverConfig]
  inner_steps:      2500
  inner_lr:         0.05
  grad_clip:        None
  lr_decay:         False
  tolerance:        1e-06
  min_steps:        1000
  momentum:         0.0
  logsumexp_init:   True
  logsumexp_gamma:  0.1

[TrainingConfig]
  n_steps:        1000
  batch_size:     256
  learning_rate:  0.001
  lr_decay:       False
  lr_decay_alpha: 0.05
  log_every:      1
  eval_every:     None
  eval_size:      1024
  seed:           12345

======================================================================


======================================================================
RUNNING OUR METHOD ON SPHERE
======================================================================

[Ours] Training on S2...
/home/sjbhatt/anaconda3/envs/rcpms-jax/lib/python3.10/site-packages/jax/_src/ops/scatter.py:92: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=int64 to dtype=int32 with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
/home/sjbhatt/anaconda3/envs/rcpms-jax/lib/python3.10/site-packages/jax/_src/ops/scatter.py:92: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=int64 to dtype=int32 with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
[   230] loss=-0.8239 | res=5.64e-05 | grad=6.44e-01 | 1.1s
[   231] loss=-0.8318 | res=2.57e-04 | grad=3.64e-01 | 1.1s
[   232] loss=-0.8579 | res=5.31e-09 | grad=3.19e-01 | 1.1s
[   233] loss=-0.8669 | res=1.47e-15 | grad=8.10e-01 | 1.1s
[   234] loss=-0.8046 | res=9.43e-09 | grad=9.24e-02 | 1.1s
[   235] loss=-0.8226 | res=1.58e-04 | grad=2.30e-01 | 1.1s
[   236] loss=-0.7724 | res=1.70e-09 | grad=3.00e-01 | 1.1s
[   237] loss=-0.8042 | res=3.31e-09 | grad=2.18e-01 | 1.1s
[   238] loss=-0.8212 | res=2.25e-04 | grad=5.48e-01 | 1.1s
[   239] loss=-0.8243 | res=2.25e-04 | grad=2.75e-01 | 1.1s
[   240] loss=-0.8695 | res=1.05e-04 | grad=2.51e-01 | 1.0s
[   241] loss=-0.8061 | res=1.92e-08 | grad=3.93e-01 | 1.1s
[   242] loss=-0.8360 | res=7.84e-14 | grad=3.88e-01 | 1.1s
[   243] loss=-0.9091 | res=4.86e-04 | grad=3.87e-01 | 1.1s
[   244] loss=-0.8650 | res=1.64e-04 | grad=4.74e-01 | 1.1s
[   245] loss=-0.7924 | res=5.85e-09 | grad=3.96e-01 | 1.1s
[   246] loss=-0.8178 | res=1.44e-08 | grad=3.65e-01 | 1.1s
[   247] loss=-0.8230 | res=7.65e-05 | grad=2.54e-01 | 1.1s
[   248] loss=-0.8548 | res=1.42e-04 | grad=1.84e-01 | 1.1s
[   249] loss=-0.7009 | res=1.81e-15 | grad=7.80e-01 | 1.1s
[   250] loss=-0.8456 | res=1.20e-04 | grad=2.32e-01 | 1.1s
[   251] loss=-0.7326 | res=2.56e-04 | grad=6.95e-01 | 1.1s
[   252] loss=-0.8530 | res=1.11e-04 | grad=3.50e-01 | 1.1s
[   253] loss=-0.8681 | res=3.29e-09 | grad=5.78e-01 | 1.1s
[   254] loss=-0.8179 | res=7.40e-05 | grad=8.69e-02 | 1.1s
[   255] loss=-0.8126 | res=1.33e-04 | grad=4.79e-01 | 1.1s
[   256] loss=-0.9821 | res=8.29e-05 | grad=1.06e+00 | 1.1s
[   257] loss=-0.8558 | res=5.53e-09 | grad=5.79e-01 | 1.1s
[   258] loss=-0.7694 | res=1.99e-15 | grad=3.85e-01 | 1.1s
[   259] loss=-0.8910 | res=6.19e-05 | grad=4.25e-01 | 1.1s
[   260] loss=-0.7571 | res=6.32e-05 | grad=6.32e-01 | 1.1s
[   261] loss=-0.8413 | res=5.24e-05 | grad=3.64e-01 | 1.1s
[   262] loss=-0.8179 | res=3.55e-04 | grad=3.91e-01 | 1.1s
[   263] loss=-0.7916 | res=1.95e-11 | grad=4.27e-01 | 1.1s
