nohup: ignoring input
Running on: [RocmDevice(id=0)]
Running experiments on: torus
Dimensions: [2, 5, 10, 20, 30, 40]
LANDMARK_METHOD = fps (candidates=4096)

======================================================================
DEFAULT CONFIGURATION PARAMETERS (from src/base.py)
======================================================================

[ModelConfig]
  network_type:   mlp
  hidden_dims:    (128, 128)
  n_landmarks:    128
  use_layernorm:  True
  last_scale:     0.01
  activation:     silu
  leaky_slope:    0.01
  softplus_beta:  1
  max_dist:       3.14159

[SolverConfig]
  inner_steps:      2500
  inner_lr:         0.05
  grad_clip:        None
  lr_decay:         False
  tolerance:        1e-06
  min_steps:        1000
  momentum:         0.0
  logsumexp_init:   True
  logsumexp_gamma:  0.1

[TrainingConfig]
  n_steps:        1000
  batch_size:     256
  learning_rate:  0.001
  lr_decay:       False
  lr_decay_alpha: 0.05
  log_every:      1
  eval_every:     None
  eval_size:      1024
  seed:           12345

======================================================================


======================================================================
RUNNING OUR METHOD ON TORUS
======================================================================

[Ours] Training on T2...
/home/sjbhatt/anaconda3/envs/rcpms-jax/lib/python3.10/site-packages/jax/_src/ops/scatter.py:92: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=int64 to dtype=int32 with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
/home/sjbhatt/anaconda3/envs/rcpms-jax/lib/python3.10/site-packages/jax/_src/ops/scatter.py:92: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=int64 to dtype=int32 with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
[   115] loss=-2.2331 | res=7.89e-03 | grad=1.75e-01 | 1.1s
[   116] loss=-2.2476 | res=1.16e-02 | grad=4.95e-01 | 1.1s
[   117] loss=-2.3380 | res=1.56e-02 | grad=3.61e-01 | 1.1s
[   118] loss=-2.3621 | res=1.31e-02 | grad=9.37e-01 | 1.1s
[   119] loss=-2.0435 | res=1.04e-02 | grad=9.09e-01 | 1.1s
[   120] loss=-2.4315 | res=1.30e-02 | grad=5.00e-01 | 1.1s
[   121] loss=-1.9105 | res=1.52e-02 | grad=7.71e-01 | 1.1s
[   122] loss=-2.4169 | res=1.23e-02 | grad=5.93e-01 | 1.0s
[   123] loss=-2.2127 | res=1.22e-02 | grad=7.22e-01 | 1.1s
[   124] loss=-2.4129 | res=1.48e-02 | grad=5.71e-01 | 1.1s
[   125] loss=-2.2144 | res=1.98e-02 | grad=7.61e-01 | 1.1s
[   126] loss=-2.5857 | res=1.28e-02 | grad=5.62e-01 | 1.1s
[   127] loss=-2.5773 | res=1.47e-02 | grad=1.05e+00 | 1.1s
[   128] loss=-2.4027 | res=1.45e-02 | grad=3.43e-01 | 1.1s
[   129] loss=-2.4810 | res=1.54e-02 | grad=2.94e-01 | 1.1s
[   130] loss=-2.2985 | res=1.23e-02 | grad=4.02e-01 | 1.1s
[   131] loss=-2.4361 | res=1.17e-02 | grad=3.88e-01 | 1.1s
[   132] loss=-2.3942 | res=1.05e-02 | grad=4.51e-01 | 1.1s
[   133] loss=-2.3152 | res=1.09e-02 | grad=7.00e-01 | 1.1s
[   134] loss=-2.3517 | res=1.36e-02 | grad=8.67e-01 | 1.1s
[   135] loss=-2.6752 | res=9.63e-03 | grad=9.15e-01 | 1.1s
[   136] loss=-2.2524 | res=1.52e-02 | grad=5.04e-01 | 1.1s
[   137] loss=-2.2324 | res=1.42e-02 | grad=5.70e-01 | 1.1s
[   138] loss=-2.3003 | res=1.29e-02 | grad=6.83e-01 | 1.1s
[   139] loss=-2.1340 | res=1.34e-02 | grad=4.78e-01 | 1.1s
[   140] loss=-2.1239 | res=1.44e-02 | grad=7.37e-01 | 1.1s
[   141] loss=-2.5659 | res=1.52e-02 | grad=7.75e-01 | 1.1s
[   142] loss=-2.0559 | res=1.24e-02 | grad=8.10e-01 | 1.1s
[   143] loss=-2.2082 | res=1.83e-02 | grad=4.85e-01 | 1.1s
[   144] loss=-2.3596 | res=1.11e-02 | grad=8.73e-01 | 1.1s
[   145] loss=-2.4253 | res=1.30e-02 | grad=4.98e-01 | 1.1s
[   146] loss=-2.1944 | res=1.46e-02 | grad=1.62e-01 | 1.0s
[   147] loss=-2.1966 | res=8.17e-03 | grad=4.51e-01 | 1.1s
[   148] loss=-2.2808 | res=1.43e-02 | grad=7.79e-01 | 1.1s
[   149] loss=-2.3008 | res=1.71e-02 | grad=1.02e+00 | 1.1s
