nohup: ignoring input
Setting GPU: 6
Running on: [RocmDevice(id=0)]
Ablations: ['baseline', 'no_logsumexp_init', 'fewer_inner_steps_500', 'more_inner_steps_4000', 'inner_lr_5e-2', 'inner_lr_1e-3', 'logsumexp_gamma_1', 'logsumexp_gamma_0.01', 'logsumexp_gamma_0.001', 'no_adam', 'landmarks_fps', 'landmarks_32', 'landmarks_64', 'landmarks_256', 'hidden_32_32', 'hidden_64_64', 'hidden_256_256', 'hidden_128_128_128', 'lr_1e-4', 'batch_512', 'batch_128']
Manifolds: ['S10']

======================================================================
MANIFOLD: S10
======================================================================

[S10] Ablation: baseline
[   148] loss=-0.2007 | res=4.86e-08 | grad=5.02e-01 | 1.2s
[   149] loss=-0.2448 | res=5.28e-08 | grad=5.35e-01 | 1.2s
[   150] loss=-0.2133 | res=4.55e-05 | grad=4.72e-01 | 1.2s
[   151] loss=-0.2123 | res=1.23e-05 | grad=6.61e-01 | 1.2s
[   152] loss=-0.2197 | res=5.41e-06 | grad=5.00e-01 | 1.2s
[   153] loss=-0.2185 | res=5.63e-08 | grad=4.03e-01 | 1.2s
[   154] loss=-0.2026 | res=1.87e-05 | grad=5.38e-01 | 1.2s
[   155] loss=-0.2015 | res=7.42e-08 | grad=3.69e-01 | 1.2s
[   156] loss=-0.2068 | res=3.11e-06 | grad=4.81e-01 | 1.2s
[   157] loss=-0.2060 | res=9.11e-08 | grad=7.30e-01 | 1.2s
[   158] loss=-0.2120 | res=2.61e-06 | grad=5.37e-01 | 1.2s
[   159] loss=-0.2058 | res=6.82e-08 | grad=4.61e-01 | 1.2s
[   160] loss=-0.2167 | res=7.49e-08 | grad=4.27e-01 | 1.2s
[   161] loss=-0.2348 | res=6.83e-08 | grad=7.42e-01 | 1.2s
[   162] loss=-0.2155 | res=5.63e-08 | grad=4.11e-01 | 1.2s
[   163] loss=-0.2167 | res=1.13e-05 | grad=4.27e-01 | 1.2s
[   164] loss=-0.2246 | res=6.42e-08 | grad=4.99e-01 | 1.2s
[   165] loss=-0.2377 | res=1.27e-05 | grad=4.23e-01 | 1.2s
[   166] loss=-0.1966 | res=6.67e-08 | grad=6.85e-01 | 1.2s
[   167] loss=-0.2029 | res=1.17e-05 | grad=5.51e-01 | 1.2s
[   168] loss=-0.2044 | res=3.62e-05 | grad=5.39e-01 | 1.2s
[   169] loss=-0.2297 | res=1.05e-04 | grad=4.04e-01 | 1.2s
[   170] loss=-0.1968 | res=1.43e-05 | grad=4.23e-01 | 1.2s
[   171] loss=-0.1769 | res=5.60e-08 | grad=5.41e-01 | 1.2s
[   172] loss=-0.2110 | res=5.94e-08 | grad=6.64e-01 | 1.2s
[   173] loss=-0.2386 | res=9.08e-08 | grad=1.06e+00 | 1.2s
[   174] loss=-0.1905 | res=6.80e-08 | grad=3.06e-01 | 1.2s
[   175] loss=-0.2214 | res=6.19e-08 | grad=7.87e-01 | 1.2s
[   176] loss=-0.2143 | res=5.75e-08 | grad=7.43e-01 | 1.3s
[   177] loss=-0.2198 | res=8.42e-08 | grad=6.27e-01 | 1.2s
[   178] loss=-0.2161 | res=8.04e-08 | grad=4.53e-01 | 1.2s
[   179] loss=-0.2215 | res=1.99e-07 | grad=4.55e-01 | 1.2s
[   180] loss=-0.2060 | res=5.59e-08 | grad=7.09e-01 | 1.2s
